1	-4940	9754.6485	12.189806
2	-4959	9754.4651	12.189577
3	-4978	9754.2817	12.189347
4	-4998	9754.0983	12.189118
5	-5017	9753.9149	12.188889
6	-5036	9753.7315	12.18866
7	-5056	9753.5481	12.188431
8	-5076	9753.3647	12.188202
9	-5096	9753.1813	12.187972
10	-5116	9752.9979	12.187743
11	-5136	9752.8145	12.187514
12	-5157	9752.6311	12.187285
13	-5177	9752.4477	12.187056
14	-5198	9752.2643	12.186826
15	-5219	9752.0809	12.186597
16	-5240	9751.8975	12.186368
17	-5261	9751.7141	12.186139
18	-5283	9751.5307	12.18591
19	-5304	9751.3473	12.185681
20	-5326	9751.1639	12.185451
21	-5348	9750.9805	12.185222
22	-5370	9750.7971	12.184993
23	-5392	9750.6137	12.184764
24	-5414	9750.4303	12.184535
25	-5437	9750.2469	12.184305
26	-5459	9750.0635	12.184076
27	-5482	9749.8801	12.183847
28	-5504	9749.6967	12.183618
29	-5527	9749.5133	12.183389
30	-5550	9749.3299	12.18316
31	-5573	9749.1466	12.18293
32	-5595	9748.9632	12.182701
33	-5618	9748.7798	12.182472
34	-5641	9748.5964	12.182243
35	-5664	9748.413	12.182014
36	-5687	9748.2296	12.181784
37	-5710	9748.0462	12.181555
38	-5733	9747.8628	12.181326
39	-5756	9747.6794	12.181097
40	-5779	9747.496	12.180868
41	-5801	9747.3126	12.180639
42	-5824	9747.1292	12.180409
43	-5847	9746.9458	12.18018
44	-5870	9746.7624	12.179951
45	-5892	9746.579	12.179722
46	-5915	9746.3956	12.179493
47	-5937	9746.2122	12.179263
48	-5960	9746.0288	12.179034
49	-5982	9745.8454	12.178805
50	-6004	9745.662	12.178576
51	-6026	9745.4786	12.178347
52	-6048	9745.2952	12.178118
53	-6071	9745.1118	12.177888
54	-6093	9744.9284	12.177659
55	-6114	9744.745	12.17743
56	-6136	9744.5616	12.177201
57	-6158	9744.3782	12.176972
58	-6180	9744.1948	12.176742
59	-6201	9744.0114	12.176513
60	-6223	9743.828	12.176284
61	-6244	9743.6446	12.176055
62	-6265	9743.4612	12.175826
63	-6287	9743.2778	12.175597
64	-6308	9743.0944	12.175367
65	-6329	9742.911	12.175138
66	-6350	9742.7276	12.174909
67	-6371	9742.5442	12.17468
68	-6392	9742.3608	12.174451
69	-6412	9742.1774	12.174221
70	-6433	9741.994	12.173992
